model,condition,seed,temperature,ambiguity_group,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
deepseek-r1:1.5b,direct,42,0.0,multi_gold,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6625399199780078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.8,0.8,0.4,0.2,0.5599999999999999,0.4,0.2,0.5599999999999999,0.14360161036780092
deepseek-r1:1.5b,direct,43,0.0,multi_gold,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.449379700003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.2013254590160842
deepseek-r1:1.5b,direct,44,0.0,multi_gold,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9532970799831673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.9,0.36,0.24000000000000002,0.48,0.36,0.24000000000000002,0.48,0.1250428625055261
deepseek-r1:1.5b,staged,44,0.0,multi_gold,10,1.0,1.5,0.0,0.0,0.0,0.0,0.0,11.954214099992532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.6,0.9,0.36,0.24000000000000002,0.48,0.36,0.24,0.48,0.15846209782885956
gemma3:27b,direct,42,0.0,multi_gold,5,0.8,3.0,0.6,0.2,0.0,0.6,0.0,18.831438979995436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.36666666666666664,0.7333333333333333,0.8,0.6599999999999999,0.31999999999999995,0.8599999999999999,0.6599999999999999,0.31999999999999995,0.8599999999999999,0.4820672266719043
gemma3:27b,direct,44,0.0,multi_gold,10,1.0,3.8,1.5,0.5,0.2,0.8,0.2,13.143344129994512,0.0,0.0,0.0,0.1,0.1,0.0,0.3,0.02,0.03333333333333333,0.0,0.09999999999999999,0.0,0.1,0.03333333333333333,0.8,0.7023809523809523,0.2833333333333333,0.4666666666666667,0.9,0.6304761904761904,0.5004642857142856,0.7566666666666666,0.6771428571428572,0.5476071428571428,0.8066666666666666,0.46433996589884674
gemma3:27b,direct,55,0.0,multi_gold,149,1.0,3.530201342281879,1.3221476510067114,0.5637583892617449,0.48322147651006714,0.6377516778523481,0.14093959731543623,10.804658630875332,0.03355704697986577,0.006711409395973154,0.06711409395973154,0.08053691275167785,0.08053691275167785,0.040268456375838924,0.12751677852348994,0.028523489932885907,0.05480984340044743,0.025727069351230425,0.0894854586129754,0.06711409395973154,0.08053691275167785,0.07270693512304251,0.8791946308724832,0.8354426334292107,0.43413231064237773,0.4248322147651007,0.7046979865771812,0.6556599552572707,0.6225894854586129,0.690636305528923,0.704729945669543,0.6728410035155002,0.7358200703100032,0.5790204081655252
gemma3:27b,direct,55,0.0,single_gold,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.271564200054854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.3195079107728942
gemma3:27b,staged,44,0.0,multi_gold,10,1.0,1.0,0.6,0.6,0.3,0.9,0.6,48.80034645999549,0.2,0.0,0.5,0.2,0.2,0.0,0.5,0.05,0.2,0.0,0.5,0.2,0.2,0.2,0.8,0.839047619047619,0.36666666666666664,0.3,0.9,0.6411428571428571,0.4931428571428571,0.7933333333333333,0.6411428571428571,0.48492857142857143,0.7972142857142853,0.24730153443309513
gemma3:27b,staged,55,0.0,multi_gold,149,1.0,1.080536912751678,0.738255033557047,0.6912751677852349,0.6174496644295302,0.7651006711409396,0.6778523489932886,46.07428739597043,0.18791946308724833,0.12751677852348994,0.2550335570469799,0.18791946308724833,0.18791946308724833,0.12751677852348994,0.2550335570469799,0.06789709172259507,0.18791946308724833,0.12751677852348994,0.2550335570469799,0.18791946308724833,0.18791946308724833,0.18791946308724833,0.9060402684563759,0.9112176414189838,0.5732342601470118,0.6476510067114094,0.6778523489932886,0.7431991051454139,0.708649568552253,0.7801156919143496,0.7446308724832215,0.7099214605305209,0.7789471875998721,0.36222775351952996
gemma3:27b,staged,55,0.0,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.93609979993198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama3.2:3b,direct,42,0.0,multi_gold,5,1.0,3.0,1.6,0.4,0.0,0.8,0.2,5.730990440025925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.3,0.2,0.6,0.42,0.12,0.72,0.42,0.12,0.72,0.3642150442689375
llama3.2:3b,direct,43,0.0,multi_gold,1,1.0,5.0,4.0,1.0,1.0,1.0,0.0,11.531025600037538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.546138254750795
llama3.2:3b,direct,44,0.0,multi_gold,10,1.0,4.4,2.4,0.7,0.4,1.0,0.3,7.52369127003476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7266666666666667,0.43333333333333335,0.0,0.9,0.5720000000000001,0.46,0.6920000000000001,0.612,0.504,0.7160000000000001,0.45642592817888317
llama3.2:3b,direct,55,0.0,multi_gold,149,1.0,4.6375838926174495,1.5503355704697988,0.6241610738255033,0.5436241610738255,0.697986577181208,0.10067114093959731,7.639915603356774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785234899328859,0.6499840204538191,0.2821029082774049,0.1413870246085011,0.6711409395973155,0.5059699584531799,0.47415548098434007,0.537213167146053,0.5602492809204218,0.5330199744327262,0.5873916586768936,0.4636621402594998
llama3.2:3b,direct,55,0.0,single_gold,1,1.0,5.0,3.0,1.0,1.0,1.0,0.0,6.486579800024629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.9966968174610518
