model,condition,seed,temperature,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
deepseek-r1:1.5b,direct,42,0.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6625399199780078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.8,0.8,0.4,0.2,0.5599999999999999,0.4,0.2,0.5599999999999999,0.14360161036780092
deepseek-r1:1.5b,direct,43,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.449379700003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0.6,0.2013254590160842
deepseek-r1:1.5b,direct,44,0.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9532970799831673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.9,0.36,0.24000000000000002,0.48,0.36,0.24000000000000002,0.48,0.1250428625055261
deepseek-r1:1.5b,staged,44,0.0,10,1.0,1.5,0.0,0.0,0.0,0.0,0.0,11.954214099992532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.6,0.9,0.36,0.24000000000000002,0.48,0.36,0.24,0.48,0.15846209782885956
gemma3:27b,direct,42,0.0,5,0.8,3.0,0.6,0.2,0.0,0.6,0.0,18.831438979995436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.36666666666666664,0.7333333333333333,0.8,0.6599999999999999,0.31999999999999995,0.8599999999999999,0.6599999999999999,0.31999999999999995,0.8599999999999999,0.4820672266719043
gemma3:27b,direct,44,0.0,10,1.0,3.8,1.5,0.5,0.2,0.8,0.2,13.143344129994512,0.0,0.0,0.0,0.1,0.1,0.0,0.3,0.02,0.03333333333333333,0.0,0.09999999999999999,0.0,0.1,0.03333333333333333,0.8,0.7023809523809523,0.2833333333333333,0.4666666666666667,0.9,0.6304761904761904,0.5004642857142856,0.7566666666666666,0.6771428571428572,0.5476071428571428,0.8066666666666666,0.46433996589884674
gemma3:27b,direct,55,0.0,150,1.0,3.513333333333333,1.3133333333333332,0.56,0.48,0.64,0.14,10.767771334669863,0.03333333333333333,0.006666666666666667,0.06666666666666667,0.08,0.08,0.04,0.12666666666666668,0.028333333333333332,0.05444444444444444,0.025555555555555557,0.08666666666666667,0.06666666666666667,0.08,0.07222222222222222,0.88,0.8298730158730159,0.43123809523809525,0.422,0.7066666666666667,0.6539555555555555,0.6204734920634921,0.6874930158730158,0.7026984126984127,0.671878253968254,0.7350831746031746,0.5772903248495743
gemma3:27b,staged,44,0.0,10,1.0,1.0,0.6,0.6,0.3,0.9,0.6,48.80034645999549,0.2,0.0,0.5,0.2,0.2,0.0,0.5,0.05,0.2,0.0,0.5,0.2,0.2,0.2,0.8,0.839047619047619,0.36666666666666664,0.3,0.9,0.6411428571428571,0.4931428571428571,0.7933333333333333,0.6411428571428571,0.48492857142857143,0.7972142857142853,0.24730153443309513
gemma3:27b,staged,55,0.0,150,1.0,1.08,0.74,0.6933333333333334,0.62,0.7666666666666667,0.68,46.09336614533017,0.19333333333333333,0.13333333333333333,0.26,0.19333333333333333,0.19333333333333333,0.13333333333333333,0.26,0.07411111111111111,0.19333333333333333,0.12666666666666668,0.26,0.19333333333333333,0.19333333333333333,0.19333333333333333,0.9066666666666666,0.9118095238095238,0.5760793650793651,0.65,0.68,0.7449111111111111,0.7093627777777777,0.7783114285714285,0.7463333333333333,0.7116936507936508,0.7798831746031745,0.3664795684960664
llama3.2:3b,direct,42,0.0,5,1.0,3.0,1.6,0.4,0.0,0.8,0.2,5.730990440025925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.3,0.2,0.6,0.42,0.12,0.72,0.42,0.12,0.72,0.3642150442689375
