model,condition,seed,temperature,n,weighted_population,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
gemma3:27b,direct,55,0.0,150,751,1.0,3.518104247431811,1.3153793388147583,0.5588504113137934,0.4845995209572939,0.6331228091888876,0.1422919919258135,10.680468261907386,0.03396767273265276,0.0068057404941559395,0.06749186270158304,0.08089066947256028,0.08089066947256028,0.04023864321800408,0.12825527857443636,0.028786142779152094,0.05517838427292488,0.025721090798903713,0.08866907254973164,0.06738594849447047,0.08089066947256028,0.07303876494122832,0.8788184130560961,0.8290903585244465,0.43163131931440846,0.42033245795729146,0.7093034332881204,0.6538351964280725,0.6230216611060068,0.6865180975076114,0.7017696012499609,0.672043551181151,0.7321309307502799,0.5776993688538409
gemma3:27b,staged,55,0.0,150,751,1.0,1.081453296666346,0.7387007558944976,0.6922200598632023,0.6196717918584596,0.7613108784247266,0.6780167753536595,46.032118883574505,0.19594580962756727,0.13538297001304658,0.257681244031527,0.19594580962756727,0.19594580962756727,0.13535054691387913,0.2624146340233223,0.07515793196052849,0.19594580962756727,0.1351007663183096,0.256763944370469,0.19594580962756727,0.19594580962756727,0.19594580962756727,0.9055327938816621,0.9114356375241861,0.5733576295726761,0.6496144353501211,0.6832654233619613,0.7446411839381214,0.7110252412371005,0.7788551653643615,0.7461406661100403,0.7111931350188009,0.7780152100704198,0.3672237976742481
llama3.2:3b,direct,55,0.0,150,751,1.0,4.638161575811377,1.5432264103702187,0.6262189264353046,0.5586071426908643,0.6944055423511981,0.09544214292882736,7.637746151535588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7832987640411074,0.649034336354576,0.2805241970388442,0.13711384044273525,0.6758604818025591,0.5051663239359645,0.47982348000393105,0.5333581941206941,0.5600077941612561,0.53617907108488,0.5842090381396973,0.46701273969318285
llama3.2:3b,staged,55,0.0,150,751,1.0,2.5409362497245316,0.34403275560066504,0.1623607399406334,0.10788724138341314,0.22255718353254966,0.013826009764758099,8.937798803798843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5875849294957151,0.6741344459653382,0.2582005613979648,0.10071817823149382,0.47132432591820084,0.4183924882017425,0.3942605914308727,0.443957416640173,0.4579412522428501,0.4310993975044657,0.4858812940893501,0.28575045925288234
mistral-small:24b,staged,55,0.0,150,751,1.0,1.2284239635937373,0.6703194368141107,0.4830461611919668,0.4077505003041788,0.5572674435898469,0.46922015142720863,25.447541315338427,0.07434901612664595,0.040279627163781626,0.1150302374611629,0.07434901612664595,0.07434901612664595,0.0338862997484835,0.1150410563692854,0.027096587266360904,0.07434901612664595,0.03388463530108004,0.11490803928095872,0.07434901612664595,0.07434901612664595,0.07434901612664595,0.8926895193872557,0.9234916592506474,0.5406186141372559,0.515631592479129,0.6429852918201787,0.7030833354148934,0.6685487764036031,0.7355449812907788,0.7095097146774911,0.67714443524709,0.7408402268928737,0.3664528131924837
qwen3:14b,direct,101,0.2,150,751,1.0,3.741526139195913,1.980670165756717,0.5521673252032773,0.48370973414623547,0.6194276729059519,0.4301313089928269,3.6464707623180317,0.0,0.0,0.0,0.006724367509986685,0.02017310252996005,0.0,0.0403462050599201,0.011767643142476697,0.005267421216156237,0.0,0.01177044496227251,0.006724367509986685,0.02017310252996005,0.01120727918331114,0.8859186327062493,0.9347226996261617,0.49455559931758325,0.5390476946735269,0.6959004285402421,0.7100290109727527,0.6820994122699932,0.7388004349351887,0.7370663324691288,0.7072014079311598,0.7672455288947134,0.702455629601554
qwen3:14b,direct,202,0.2,150,751,1.0,3.6572072512485296,1.9397987350717043,0.5695502086314337,0.4962824053166097,0.6386440007599291,0.4478854146297555,3.5504831623781,0.006724367509986685,0.0,0.02017310252996005,0.01344873501997337,0.01344873501997337,0.0,0.03362183754993342,0.010086551264980025,0.008965823346648912,0.0,0.024656014203284504,0.006724367509986685,0.01344873501997337,0.008965823346648912,0.8859186327062493,0.9312254530496874,0.5070614228819954,0.537982896671312,0.6959004285402421,0.7116177667698974,0.6822534752004543,0.7422650144863028,0.7377938076496665,0.7072925348015894,0.7669524819243612,0.6868455099044251
qwen3:14b,direct,303,0.2,150,751,1.0,3.8187342284878905,1.9679719452023048,0.5428403672078772,0.47606092711660286,0.6094188411178257,0.42837809106118024,3.8321940862617567,0.0,0.0,0.0,0.0,0.006724367509986685,0.0,0.02017310252996005,0.0033621837549933425,0.0016810918774966713,0.0,0.0050432756324900125,0.0,0.006724367509986685,0.002241455836662228,0.8919106433587126,0.9295479062289981,0.48502022672794975,0.5310941019329835,0.6959004285402421,0.7066946613577773,0.6747810994437825,0.7367739307303389,0.7316021519783171,0.7019324215586283,0.7621597889054281,0.6974019585765118
qwen3:14b,staged,101,0.2,150,751,1.0,1.5498316153442648,0.7993593752748215,0.5113037964402812,0.43660835248676455,0.5847993807402097,0.4512317557424082,14.18274903788237,0.1354124182519655,0.08192257125179896,0.1895078360295571,0.1490238992402774,0.1490238992402774,0.09479455940383037,0.20307210853024768,0.06295721995122794,0.14221815874612145,0.08829441216425238,0.19878821083672943,0.1354124182519655,0.1490238992402774,0.14221815874612145,0.8792049347309001,0.9179150383078478,0.5400133812284278,0.5385441573024795,0.749517905160382,0.7250390833460076,0.6946962622252237,0.7557497808357497,0.7458261300025615,0.7166934811308066,0.7746863882686704,0.42017300783092737
qwen3:14b,staged,202,0.2,150,751,1.0,1.5023760342335575,0.7922488223420314,0.5040399125951722,0.42912567884105834,0.5791828542906272,0.4840246415812329,14.148609630802396,0.1287650136518312,0.08084481633915722,0.18264692110855554,0.1354893811618179,0.1354893811618179,0.08791010134635302,0.18925541617910124,0.05807910440400454,0.13100646948849345,0.08323290326702444,0.1825911873394397,0.1287650136518312,0.1354893811618179,0.13100646948849345,0.9063465237233548,0.9101105193814916,0.5259096552705074,0.5823734287116444,0.7536530094036751,0.7356786272981347,0.7068800630729308,0.7640637764058205,0.7497463817560356,0.7220821071383738,0.776757749372921,0.43117452326954486
qwen3:14b,staged,303,0.2,150,751,1.0,1.4631809103014162,0.8136949361483315,0.5056076875484333,0.4311030675752713,0.5799966251938622,0.46502724417171826,14.148596547674424,0.1017505279156411,0.06084353017525454,0.1494288969925621,0.1017505279156411,0.10847489542562778,0.061001867039233874,0.15599895425627783,0.0463241827955543,0.10309540141763843,0.059682278847059136,0.1506518371128058,0.1017505279156411,0.10847489542562778,0.10309540141763843,0.9063465237233548,0.9139275837345078,0.5582741883923641,0.5877272718650882,0.7107829420911977,0.7354117019613027,0.7051477064709838,0.765423521383866,0.7464336182015945,0.7179856557966495,0.7731858992178484,0.4196578881146344
