model,condition,seed,temperature,gold_family,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
qwen3:14b,direct_rich,55,0.0,arc,40,1.0,1.65,0.775,0.275,0.15,0.425,0.225,4.437615878100004,0.025,0.0,0.075,0.025,0.025,0.0,0.075,0.0125,0.025,0.0,0.1,0.025,0.025,0.025,0.925,0.94,0.5175,0.625,0.8,0.7615,0.6996625,0.8143375,0.7615,0.697,0.8200041666666665,0.45716792761817254
qwen3:14b,direct_rich,55,0.0,arc+bar+line,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.805973125000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46927872602275644
qwen3:14b,direct_rich,55,0.0,bar,22,1.0,3.1363636363636362,1.9545454545454546,0.6818181818181818,0.45454545454545453,0.8636363636363636,0.6363636363636364,10.108261977363625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8757575757575757,0.6545454545454545,0.7272727272727273,0.6363636363636364,0.7787878787878788,0.7066666666666667,0.8527348484848485,0.8093939393939393,0.7481818181818182,0.8715151515151515,0.7530556701235933
qwen3:14b,direct_rich,55,0.0,bar+line,3,1.0,2.6666666666666665,2.3333333333333335,0.6666666666666666,0.0,1.0,0.6666666666666666,5.501226486000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,0.13333333333333333,0.5555555555555556,1.0,0.7111111111111111,0.5599999999999999,0.8400000000000001,0.7111111111111111,0.5599999999999999,0.8400000000000001,0.5898617992321029
qwen3:14b,direct_rich,55,0.0,bar+line+point,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.29425333400002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.28571428571428575,0.6666666666666666,0.0,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.18590559731608028
qwen3:14b,direct_rich,55,0.0,bar+line+rect,4,1.0,3.25,1.75,0.75,0.25,1.0,0.5,7.621296593500006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,0.41666666666666663,0.75,0.6733333333333333,0.64,0.74,0.7633333333333333,0.6733333333333333,0.8699999999999999,0.46708863800151046
qwen3:14b,direct_rich,55,0.0,boxplot,23,1.0,2.8260869565217392,2.0434782608695654,0.6521739130434783,0.43478260869565216,0.8260869565217391,0.4782608695652174,6.856650556260874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.9492753623188406,0.47101449275362317,0.391304347826087,0.7391304347826086,0.6927536231884058,0.6072101449275362,0.782608695652174,0.7057971014492753,0.6231521739130435,0.7927898550724636,0.6478175207753877
qwen3:14b,direct_rich,55,0.0,line,16,1.0,2.1875,1.25,0.5,0.25,0.75,0.5,6.490411145812499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.9875,0.61875,0.675,0.5625,0.74375,0.6462395833333333,0.83375,0.7775,0.68665625,0.8633645833333332,0.4626725536884457
qwen3:14b,direct_rich,55,0.0,point,13,1.0,3.1538461538461537,2.5384615384615383,0.7692307692307693,0.5384615384615384,1.0,0.5384615384615384,11.170303166615371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.8285714285714285,0.22344322344322345,0.07692307692307693,0.6923076923076923,0.47194139194139195,0.35149084249084245,0.6073333333333332,0.528937728937729,0.4064468864468865,0.6554322344322343,0.42582606044901705
qwen3:14b,direct_rich,55,0.0,rect,27,1.0,2.3333333333333335,1.7407407407407407,0.8518518518518519,0.7037037037037037,0.9629629629629629,0.7777777777777778,7.138299689851844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.9873015873015873,0.5809523809523809,0.5185185185185185,0.5925925925925926,0.7136507936507936,0.6358730158730159,0.7850820105820105,0.7519223985890653,0.6841446208112875,0.8185185185185185,0.517757371467375
