condition,record_id,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:7,101,202,1.0,0.42857142857142855,0.42857142857142855,0.647335
direct,nvbench2:test:7,101,303,0.0,0.1111111111111111,0.1111111111111111,0.22144499999999998
direct,nvbench2:test:7,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:11,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:11,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:11,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:18,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:18,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:18,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:20,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:20,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:20,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:25,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:25,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:25,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:26,101,202,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:26,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:26,202,303,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:31,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:31,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:31,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:35,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:35,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:35,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:37,101,202,0.0,0.0,1.0,0.0
direct,nvbench2:test:37,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:37,202,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:39,101,202,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:test:39,101,303,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:test:39,202,303,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:test:62,101,202,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:62,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:62,202,303,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:70,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:70,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:70,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:79,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:79,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:79,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:90,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:90,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:90,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:97,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:97,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:97,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:99,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:99,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:99,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:102,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:102,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:102,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:105,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:105,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:105,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:111,101,202,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:111,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:111,202,303,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:112,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:112,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:112,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:113,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:113,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:113,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:117,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:117,101,303,1.0,0.2,0.2,0.321445
direct,nvbench2:test:117,202,303,1.0,0.2,0.2,0.321445
direct,nvbench2:test:127,101,202,1.0,0.42857142857142855,0.0,0.67411
direct,nvbench2:test:127,101,303,0.0,0.42857142857142855,1.0,0.45711
direct,nvbench2:test:127,202,303,0.0,0.1111111111111111,0.0,0.13122
direct,nvbench2:test:131,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:131,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:131,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:132,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:132,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:132,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:133,101,202,1.0,0.6,1.0,0.719335
direct,nvbench2:test:133,101,303,1.0,0.6,1.0,0.719335
direct,nvbench2:test:133,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:142,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:142,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:142,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:144,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:144,101,303,1.0,1.0,1.0,0.981775
direct,nvbench2:test:144,202,303,1.0,1.0,1.0,0.981775
direct,nvbench2:test:150,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:150,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:150,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:157,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:157,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:157,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:160,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:160,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:160,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:162,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:163,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:168,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:168,101,303,1.0,0.3333333333333333,0.0,0.415
direct,nvbench2:test:168,202,303,1.0,0.3333333333333333,0.0,0.415
direct,nvbench2:test:170,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:170,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:170,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:173,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:174,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:174,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:174,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:178,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:183,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:192,101,202,1.0,0.42857142857142855,0.42857142857142855,0.719335
direct,nvbench2:test:192,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:192,202,303,1.0,0.42857142857142855,0.42857142857142855,0.719335
direct,nvbench2:test:194,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:194,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:194,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:201,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:223,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:227,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:236,101,202,1.0,0.1111111111111111,0.1111111111111111,0.321445
direct,nvbench2:test:236,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:236,202,303,1.0,0.1111111111111111,0.1111111111111111,0.321445
direct,nvbench2:test:238,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:238,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:238,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:252,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:254,101,202,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:254,101,303,1.0,0.6666666666666666,0.6666666666666666,0.8687799999999999
direct,nvbench2:test:254,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:263,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:268,101,202,1.0,1.0,1.0,1.0
