model,condition,gold_count_group,n,estimator,mean_gold_recall_5,mean_distinct_gold_recovered_5,graded_equal,graded_no_empty_reward,graded_operation_filter_weighted
gemma3,direct-basic,all,150,design-weighted,0.028786142779152094,0.08769640996671624,0.6538351964280725,0.49602661538047677,0.6284016961979678
gemma3,direct-basic,1,1,raw descriptive,0.0,0,0.4,0.2,0.42857142857142855
gemma3,direct-basic,2,71,raw descriptive,0.028169014084507043,0.056338028169014086,0.6420657276995305,0.47586854460093897,0.6146881287726358
gemma3,direct-basic,3,33,raw descriptive,0.0303030303030303,0.09090909090909091,0.6426262626262625,0.49717171717171715,0.6194805194805194
gemma3,direct-basic,4,21,raw descriptive,0.011904761904761904,0.047619047619047616,0.626984126984127,0.5031746031746032,0.5873015873015873
gemma3,direct-basic,5,24,raw descriptive,0.04166666666666667,0.20833333333333334,0.7388888888888888,0.5638888888888889,0.7251984126984127
gemma3,direct-basic,multi,149,raw descriptive,0.028523489932885907,0.087248322147651,0.6556599552572707,0.49861297539149885,0.6296899968040908
gemma3,staged,all,150,design-weighted,0.07515793196052849,0.20275155012172322,0.7446411839381214,0.5906664654327769,0.7231539698650218
gemma3,staged,1,1,raw descriptive,1.0,1,1.0,0.8,1.0
gemma3,staged,2,71,raw descriptive,0.07042253521126761,0.14084507042253522,0.7173910127431254,0.5624614352783367,0.6992095429721185
gemma3,staged,3,33,raw descriptive,0.0808080808080808,0.24242424242424243,0.7644444444444445,0.6129292929292929,0.7473304473304473
gemma3,staged,4,21,raw descriptive,0.05952380952380952,0.23809523809523808,0.7587301587301587,0.6253968253968254,0.7199546485260772
gemma3,staged,5,24,raw descriptive,0.05,0.25,0.7767460317460317,0.6100793650793651,0.7512471655328798
gemma3,staged,multi,149,raw descriptive,0.06789709172259507,0.19463087248322147,0.7431991051454139,0.5901789709172259,0.7211728986896773
llama3.2,direct-basic,all,150,design-weighted,0.0,0.0,0.5051663239359645,0.3632964912239213,0.4769722774178738
llama3.2,direct-basic,1,1,raw descriptive,0.0,0,0.5599999999999999,0.36,0.5428571428571428
llama3.2,direct-basic,2,71,raw descriptive,0.0,0,0.49478202548625083,0.34548625083836354,0.4748107693781738
llama3.2,direct-basic,3,33,raw descriptive,0.0,0,0.49313131313131314,0.3658585858585859,0.45324675324675323
llama3.2,direct-basic,4,21,raw descriptive,0.0,0,0.43523809523809526,0.320952380952381,0.4043083900226757
llama3.2,direct-basic,5,24,raw descriptive,0.0,0,0.6186111111111111,0.4602777777777778,0.5827380952380953
llama3.2,direct-basic,multi,149,raw descriptive,0.0,0,0.5059699584531799,0.3650303611377437,0.47748253663881657
llama3.2,staged,all,150,design-weighted,0.0,0.0,0.4183924882017425,0.3147934019794872,0.3805721350226296
llama3.2,staged,1,1,raw descriptive,0.0,0,0.44000000000000006,0.24000000000000005,0.4571428571428572
llama3.2,staged,2,71,raw descriptive,0.0,0,0.39195171026156944,0.28772635814889336,0.36178978633707004
llama3.2,staged,3,33,raw descriptive,0.0,0,0.4155844155844156,0.31861471861471863,0.37043908472479903
llama3.2,staged,4,21,raw descriptive,0.0,0,0.36866213151927435,0.3019954648526077,0.3222870100421121
llama3.2,staged,5,24,raw descriptive,0.0,0,0.5521031746031746,0.4187698412698413,0.5034863945578232
llama3.2,staged,multi,149,raw descriptive,0.0,0,0.4196995845317993,0.31768616171300734,0.38096151212162715
mistral-small,direct-basic,all,150,design-weighted,0.0,0.0,0.7261203709738997,0.5829629543411168,0.6992155006802145
mistral-small,direct-basic,1,1,raw descriptive,0.0,0,0.72,0.52,0.6571428571428571
mistral-small,direct-basic,2,71,raw descriptive,0.0,0,0.6912676056338029,0.5447887323943662,0.6674714956405097
mistral-small,direct-basic,3,33,raw descriptive,0.0,0,0.784040404040404,0.6507070707070707,0.7606060606060606
mistral-small,direct-basic,4,21,raw descriptive,0.0,0,0.7095238095238096,0.5761904761904761,0.6632653061224489
mistral-small,direct-basic,5,24,raw descriptive,0.0,0,0.7663888888888889,0.6163888888888889,0.7438492063492064
mistral-small,direct-basic,multi,149,raw descriptive,0.0,0,0.7264876957494407,0.5842058165548099,0.6998082454458293
mistral-small,staged,all,150,design-weighted,0.027096587266360904,0.08107338363663265,0.7030833354148934,0.5691923100325232,0.6677190801962535
mistral-small,staged,1,1,raw descriptive,0.0,0,0.7333333333333333,0.5333333333333333,0.6666666666666666
mistral-small,staged,2,71,raw descriptive,0.028169014084507043,0.056338028169014086,0.6687860496311201,0.536391683433937,0.6369933889048577
mistral-small,staged,3,33,raw descriptive,0.0202020202020202,0.06060606060606061,0.7357575757575757,0.6084848484848485,0.7066378066378066
mistral-small,staged,4,21,raw descriptive,0.03571428571428571,0.14285714285714285,0.7155555555555555,0.6012698412698413,0.6562358276643991
mistral-small,staged,5,24,raw descriptive,0.025,0.125,0.7452777777777778,0.5869444444444445,0.7128968253968254
mistral-small,staged,multi,149,raw descriptive,0.026957494407158836,0.08053691275167785,0.7025311601150527,0.5696452540747843,0.6673560699447564
