record_id,gold_count,step4_count,step5_count,step6_count,raw_count,expanded_count,deduplicated_complete_count,cap15_count,step6_set_equal_gold,step6_contains_any_gold,complete_pool_contains_any_gold,heuristic_top5_contains_any_gold
nvbench2:train:0,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:1,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:2,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:3,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:4,2,1,1,1,3,4,3,3,0,1,1,1
nvbench2:train:5,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:6,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:7,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:8,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:9,2,1,1,1,3,4,4,4,0,1,1,1
nvbench2:train:10,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:11,2,1,1,1,3,4,3,3,0,1,1,1
nvbench2:train:12,2,1,1,1,3,4,3,3,0,1,1,1
nvbench2:train:13,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:14,2,1,1,1,3,4,4,4,0,1,1,1
nvbench2:train:15,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:16,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:17,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:18,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:19,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:20,2,1,1,1,3,4,4,4,0,1,1,1
nvbench2:train:21,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:22,2,1,1,2,4,4,3,3,1,1,1,1
nvbench2:train:23,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:24,2,1,2,2,5,5,2,2,0,0,0,0
nvbench2:train:25,2,1,1,2,4,6,4,4,1,1,1,1
nvbench2:train:26,2,1,2,2,5,5,4,4,1,1,1,1
nvbench2:train:27,2,1,1,1,3,4,4,4,0,1,1,1
nvbench2:train:28,2,1,1,1,3,4,4,4,0,1,1,1
nvbench2:train:29,2,1,2,2,5,5,2,2,1,1,1,1
nvbench2:train:30,4,1,2,4,7,7,6,6,1,1,1,1
