record_id,index,model,condition,seed,temperature,parse_success,candidate_count,valid_candidate_count,any_candidate,any_valid_candidate,all_candidates_valid,elapsed_seconds,gold_count_raw,gold_count_canonical,ambiguity_group,gold_family,raw_mrr,raw_hit@1,raw_recall@1,raw_precision@1,raw_f1@1,raw_hit@3,raw_recall@3,raw_precision@3,raw_f1@3,raw_hit@5,raw_recall@5,raw_precision@5,raw_f1@5,valid_mrr,valid_hit@1,valid_recall@1,valid_precision@1,valid_f1@1,valid_hit@3,valid_recall@3,valid_precision@3,valid_f1@3,valid_hit@5,valid_recall@5,valid_precision@5,valid_f1@5,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,best5_mark,best5_channels,best5_fields,best5_operations,best5_filters,best5_macro,graded_ndcg@5
nvbench-v1:1080@y_name@ASC,0,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,14.479843899956904,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.6666666666666666,1.0,0.6933333333333334,1.0,0.8,0.4,0.6666666666666666,1.0,0.7733333333333333,1.8774155207526204
nvbench-v1:1184@y_name@ASC,1,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,5.759205800015479,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,0.3333333333333333,1.0,0.7066666666666668,1.0,1.0,0.5,0.5,1.0,0.8,2.064049091238978
nvbench-v1:1345,2,qwen3:14b,direct,69,0.0,1.0,2,2,1.0,1.0,1.0,1.5598095000023022,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3940186549702736
nvbench-v1:1380@y_name@ASC,3,qwen3:14b,direct,69,0.0,1.0,4,4,1.0,1.0,1.0,3.7454611000139266,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.9,1.0,1.0,1.0,0.5,1.0,0.9,2.023374179927179
nvbench-v1:2109@y_name@DESC,4,qwen3:14b,direct,69,0.0,1.0,5,0,1.0,0.0,0.0,6.035223999992013,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.4,1.0,0.78,1.0,1.0,0.5,0.4,1.0,0.78,2.114431061559728
nvbench-v1:2235@y_name@DESC,5,qwen3:14b,direct,69,0.0,1.0,5,5,1.0,1.0,1.0,4.6146267000585794,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.9,1.0,1.0,1.0,0.5,1.0,0.9,2.376342359430372
nvbench-v1:2519,6,qwen3:14b,direct,69,0.0,1.0,5,5,1.0,1.0,1.0,3.7593270000070333,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6874941622710304
nvbench-v1:2765,7,qwen3:14b,direct,69,0.0,1.0,5,4,1.0,1.0,0.0,5.012337599997409,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.705195582333432
nvbench-v1:2912,8,qwen3:14b,direct,69,0.0,1.0,5,5,1.0,1.0,1.0,6.131933799944818,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7382501786167395
nvbench-v1:3005@y_name@ASC,9,qwen3:14b,direct,69,0.0,1.0,2,2,1.0,1.0,1.0,2.342235399992205,1,1,single_gold,bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.9,1.0,1.0,1.0,0.5,1.0,0.9,1.3489833973550573
