pool,rrf_constant,n,raw_unique_mean,valid_unique_mean,valid_unique_sd,valid_unique_min,valid_unique_q25,valid_unique_median,valid_unique_q75,valid_unique_max,multi_source_candidates_mean,sources_per_candidate_mean,oracle_design_weighted,rrf_hit1_design_weighted,rrf_hit5_design_weighted
direct-only,10,150,14.18,6.733333333333333,4.22794933218878,0.0,3.0,6.0,9.0,20.0,0.16666666666666666,1.0017229714729714,0.09433940449253365,0.006724367509986685,0.07429340521883798
direct-only,30,150,14.18,6.733333333333333,4.22794933218878,0.0,3.0,6.0,9.0,20.0,0.16666666666666666,1.0017229714729714,0.09433940449253365,0.006724367509986685,0.07429340521883798
direct-only,60,150,14.18,6.733333333333333,4.22794933218878,0.0,3.0,6.0,9.0,20.0,0.16666666666666666,1.0017229714729714,0.09433940449253365,0.006724367509986685,0.07429340521883798
direct-only,100,150,14.18,6.733333333333333,4.22794933218878,0.0,3.0,6.0,9.0,20.0,0.16666666666666666,1.0017229714729714,0.09433940449253365,0.006724367509986685,0.07429340521883798
staged-only,10,150,6.013333333333334,2.24,1.9889025449562212,0.0,1.0,2.0,3.0,10.0,0.24,1.0456296296296297,0.2503413733773254,0.1826505736459132,0.24358115623095652
staged-only,30,150,6.013333333333334,2.24,1.9889025449562212,0.0,1.0,2.0,3.0,10.0,0.24,1.0456296296296297,0.2503413733773254,0.1826505736459132,0.24358115623095652
staged-only,60,150,6.013333333333334,2.24,1.9889025449562212,0.0,1.0,2.0,3.0,10.0,0.24,1.0456296296296297,0.2503413733773254,0.1826505736459132,0.24358115623095652
staged-only,100,150,6.013333333333334,2.24,1.9889025449562212,0.0,1.0,2.0,3.0,10.0,0.24,1.0456296296296297,0.2503413733773254,0.1826505736459132,0.24358115623095652
direct+staged,10,150,19.68,8.646666666666667,5.16286311609707,1.0,4.25,8.0,11.0,26.0,0.64,1.0911370011441623,0.2702602693947568,0.14278810588730695,0.2501784204846788
direct+staged,30,150,19.68,8.646666666666667,5.16286311609707,1.0,4.25,8.0,11.0,26.0,0.64,1.0911370011441623,0.2702602693947568,0.14278810588730695,0.2501784204846788
direct+staged,60,150,19.68,8.646666666666667,5.16286311609707,1.0,4.25,8.0,11.0,26.0,0.64,1.0911370011441623,0.2702602693947568,0.14278810588730695,0.2501784204846788
direct+staged,100,150,19.68,8.646666666666667,5.16286311609707,1.0,4.25,8.0,11.0,26.0,0.64,1.0911370011441623,0.2702602693947568,0.14278810588730695,0.2501784204846788
