condition,record_id,gold_family,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:7,bar,101,202,1.0,0.42857142857142855,0.42857142857142855,0.647335
direct,nvbench2:test:7,bar,101,303,0.0,0.1111111111111111,0.1111111111111111,0.22144499999999998
direct,nvbench2:test:7,bar,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:11,point,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:11,point,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:11,point,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:18,rect,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:18,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:18,rect,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:20,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:20,arc,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:20,arc,202,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:25,boxplot,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:25,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:25,boxplot,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:26,boxplot,101,202,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:26,boxplot,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:26,boxplot,202,303,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:31,rect,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:31,rect,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:31,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:35,bar+line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:35,bar+line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:35,bar+line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:37,arc,101,202,0.0,0.0,1.0,0.0
direct,nvbench2:test:37,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:37,arc,202,303,0.0,0.0,1.0,0.0
direct,nvbench2:test:39,bar,101,202,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:test:39,bar,101,303,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:test:39,bar,202,303,1.0,1.0,1.0,0.9999999999999999
direct,nvbench2:test:62,arc,101,202,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:62,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:62,arc,202,303,1.0,0.1111111111111111,1.0,0.321445
direct,nvbench2:test:70,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:70,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:70,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:79,boxplot,101,202,1.0,1.0,1.0,1.0
