model,pool_name,seed,temperature,K,n,pool_hit,pool_recall,pool_precision,pool_f1
mistral-small:24b,direct,77,0.0,1,150,0.02,0.008,0.02,0.011111111111111112
mistral-small:24b,direct,77,0.0,2,150,0.07333333333333333,0.027444444444444445,0.03666666666666667,0.030793650793650793
mistral-small:24b,direct,77,0.0,3,150,0.09333333333333334,0.033777777777777775,0.03111111111111111,0.03158730158730159
mistral-small:24b,direct,77,0.0,4,150,0.13333333333333333,0.043666666666666666,0.034999999999999996,0.0377989417989418
mistral-small:24b,direct,77,0.0,5,150,0.14,0.05422222222222222,0.035,0.041201058201058204
mistral-small:24b,direct,77,0.0,6,150,0.14,0.05422222222222222,0.03166666666666666,0.038435786435786434
mistral-small:24b,direct,77,0.0,7,150,0.14666666666666667,0.05977777777777778,0.031507936507936506,0.03941895141895142
mistral-small:24b,direct,77,0.0,8,150,0.14666666666666667,0.06144444444444444,0.030793650793650793,0.03905686905686906
mistral-small:24b,direct,77,0.0,9,150,0.14666666666666667,0.06144444444444444,0.029682539682539682,0.0378984718984719
mistral-small:24b,direct,77,0.0,10,150,0.14666666666666667,0.06144444444444444,0.029015873015873016,0.03718207718207718
mistral-small:24b,direct,77,0.0,11,150,0.14666666666666667,0.06144444444444444,0.02859163059163059,0.036711991711991715
mistral-small:24b,direct,77,0.0,12,150,0.14666666666666667,0.0631111111111111,0.028894660894660893,0.037258210199386674
mistral-small:24b,direct,77,0.0,13,150,0.14666666666666667,0.0631111111111111,0.028638250638250637,0.03695646727999669
mistral-small:24b,direct,77,0.0,14,150,0.14666666666666667,0.0631111111111111,0.028455100455100454,0.036727709110062054
mistral-small:24b,direct,77,0.0,15,150,0.14666666666666667,0.0631111111111111,0.028359862359862358,0.036610750045734566
mistral-small:24b,direct,77,0.0,16,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
mistral-small:24b,direct,77,0.0,17,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
mistral-small:24b,direct,77,0.0,18,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
mistral-small:24b,direct,77,0.0,19,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
mistral-small:24b,direct,77,0.0,20,150,0.14666666666666667,0.0631111111111111,0.028276529026529027,0.036505486887839826
mistral-small:24b,staged,77,0.0,1,150,0.18666666666666668,0.06555555555555556,0.18666666666666668,0.0951111111111111
mistral-small:24b,staged,77,0.0,2,150,0.24666666666666667,0.08844444444444445,0.16666666666666666,0.11101587301587301
mistral-small:24b,staged,77,0.0,3,150,0.28,0.09866666666666667,0.16444444444444445,0.11490476190476191
mistral-small:24b,staged,77,0.0,4,150,0.28,0.112,0.16555555555555557,0.12032804232804233
mistral-small:24b,staged,77,0.0,5,150,0.29333333333333333,0.11755555555555555,0.1668888888888889,0.12296825396825398
mistral-small:24b,staged,77,0.0,6,150,0.29333333333333333,0.11755555555555555,0.166,0.12224963924963925
mistral-small:24b,staged,77,0.0,7,150,0.29333333333333333,0.11755555555555555,0.16568253968253968,0.12187926887926888
mistral-small:24b,staged,77,0.0,8,150,0.29333333333333333,0.11755555555555555,0.16544444444444445,0.12158297258297258
mistral-small:24b,staged,77,0.0,9,150,0.29333333333333333,0.11755555555555555,0.16525925925925924,0.12134054834054835
mistral-small:24b,staged,77,0.0,10,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,11,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,12,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,13,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,14,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,15,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,16,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
mistral-small:24b,staged,77,0.0,17,150,0.29333333333333333,0.11755555555555555,0.1651111111111111,0.12113852813852814
