model,condition,n,response_parseable,any_renderer_executable,top1_renderer_executable,renderer_executable_fraction,top1_registered_compliant,registered_compliant_fraction,candidate_count
gemma3:27b,direct,150,1.0,0.9377472643097644,0.9105481902356901,0.9104975098204264,0.3739635942760943,0.43952739197530866,2.3274673821548824
gemma3:27b,direct_rich,150,1.0,0.9523200757575757,0.9387257996632996,0.9422155583613918,0.2708385942760943,0.3064839365881032,2.1375894360269356
gemma3:27b,staged,150,1.0,0.6590856481481481,0.6590856481481481,0.6590856481481481,0.7161616161616163,0.7128051346801347,1.1472169612794612
llama3.2:3b,direct,150,1.0,0.9661616161616161,0.9246685606060606,0.9169255050505052,0.19494949494949496,0.32492108585858587,4.77131734006734
llama3.2:3b,direct_rich,150,1.0,0.9796927609427609,0.9108270202020203,0.9157189955106619,0.2256681397306397,0.32965435606060606,4.559148779461279
llama3.2:3b,staged,150,1.0,0.7068655303030303,0.6523621632996633,0.6756218434343434,0.026504629629629628,0.07054941778900112,2.593997264309764
mistral-small:24b,direct,150,1.0,0.9587384259259258,0.9379050925925926,0.9432880892255894,0.6923505892255891,0.7209371492704826,2.5217855639730637
mistral-small:24b,direct_rich,150,1.0,0.9517939814814814,0.9240162037037036,0.9365162037037037,0.6318813131313132,0.634269255050505,2.217760942760943
mistral-small:24b,staged,150,1.0,0.9105429292929293,0.9105429292929293,0.9105429292929293,0.5098221801346802,0.5132944023569024,1.2331228956228957
qwen3:14b,direct,150,1.0,0.9710069444444445,0.9640625,0.9600357744107745,0.5598011363636364,0.5350385802469135,3.634027777777778
qwen3:14b,direct_rich,150,1.0,0.978125,0.978125,0.9685763888888889,0.5998842592592593,0.5811177749719417,2.748153409090909
qwen3:14b,staged,150,1.0,0.8576599326599327,0.8507154882154881,0.8517003367003367,0.5177819865319866,0.5220328282828283,1.4864951599326601
