record_id,model,condition,gold_family,response_parseable,any_renderer_executable,top1_renderer_executable,renderer_executable_fraction,top1_registered_compliant,registered_compliant_fraction,candidate_count
nvbench2:dev:17,gemma3:27b,direct,line,1.0,1.0,1.0,1.0,0.0,0.5,4
nvbench2:dev:22,gemma3:27b,direct,boxplot,1.0,1.0,0.0,0.5,0.0,0.0,2
nvbench2:dev:23,gemma3:27b,direct,point,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:25,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:33,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,1.0,0.5,2
nvbench2:dev:34,gemma3:27b,direct,point,1.0,1.0,1.0,1.0,1.0,0.5,2
nvbench2:dev:35,gemma3:27b,direct,bar+line+point+rect,1.0,1.0,1.0,0.5,1.0,1.0,2
nvbench2:dev:39,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,1.0,0.5,2
nvbench2:dev:40,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,1.0,1.0,1
nvbench2:dev:41,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:48,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,1.0,1.0,1
nvbench2:dev:49,gemma3:27b,direct,line,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:51,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,3
nvbench2:dev:54,gemma3:27b,direct,bar,1.0,1.0,1.0,1.0,1.0,1.0,2
nvbench2:dev:57,gemma3:27b,direct,rect,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:61,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,1
nvbench2:dev:63,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,3
nvbench2:dev:68,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,1.0,0.5,2
nvbench2:dev:72,gemma3:27b,direct,arc,1.0,0.0,0.0,0.0,0.0,0.0,3
nvbench2:dev:73,gemma3:27b,direct,arc,1.0,1.0,1.0,1.0,0.0,0.0,3
