model,condition,n,exact_recall@5,exact_recall@5_ci_low,exact_recall@5_ci_high,core_recall@5,core_recall@5_ci_low,core_recall@5_ci_high,component_identical_recall@5,component_identical_recall@5_ci_low,component_identical_recall@5_ci_high,matched_recall@5_tau80,matched_recall@5_tau80_ci_low,matched_recall@5_tau80_ci_high,matched_recall@5_tau90,matched_recall@5_tau90_ci_low,matched_recall@5_tau90_ci_high,exact_recovered,exact_recovered_ci_low,exact_recovered_ci_high,core_recovered,core_recovered_ci_low,core_recovered_ci_high,component_identical_recovered,component_identical_recovered_ci_low,component_identical_recovered_ci_high,matched_recovered_tau80,matched_recovered_tau80_ci_low,matched_recovered_tau80_ci_high,matched_recovered_tau90,matched_recovered_tau90_ci_low,matched_recovered_tau90_ci_high,elapsed_seconds,elapsed_seconds_ci_low,elapsed_seconds_ci_high,prompt_tokens,prompt_tokens_ci_low,prompt_tokens_ci_high,generated_tokens,generated_tokens_ci_low,generated_tokens_ci_high,total_tokens,total_tokens_ci_low,total_tokens_ci_high
gemma3:27b,direct,150,0.06111119879349045,0.039060569015004376,0.08684661037602148,0.06111119879349045,0.038306289647340355,0.08544575596523801,0.06111119879349045,0.03833119054698685,0.08570414074139654,0.211242459315376,0.1733578964427262,0.25278677516200837,0.11506690165544332,0.08232582070803292,0.15129756094850608,0.1843592171717172,0.11683984586054762,0.25923650538390475,0.1843592171717172,0.11650308275975325,0.25889432466961654,0.1843592171717172,0.11624639670671909,0.25921522895610316,0.5655881734006735,0.4666642700779753,0.6691195260151165,0.32191708754208753,0.2354973345204613,0.41531913635635825,6.270967506809406,5.88394507871919,6.6967708312538425,377.3946233164983,367.1672921137531,388.2445254619496,87.74467592592592,80.59932304984085,95.2626481175297,465.13929924242416,450.59375303991294,479.82367102673294
gemma3:27b,direct_rich,150,0.0342183992704826,0.019651967402677994,0.05181109846512323,0.0342183992704826,0.019156253934759344,0.05102969876054514,0.0342183992704826,0.019073930262850595,0.05118763549038506,0.17661546015712684,0.14470904021474526,0.21086513641303456,0.08280110129068462,0.05713414270407581,0.11043096461713788,0.12225904882154882,0.06609417344795385,0.18096045088182589,0.12225904882154882,0.07149954331581798,0.18442031431213762,0.12225904882154882,0.07113994855193138,0.18455748880338824,0.48270202020202024,0.40409250123874957,0.5633742259809226,0.23944128787878793,0.17069704749337314,0.3151776460645874,5.512415402568277,5.248996582558482,5.799946585294788,452.3946233164983,442.1672921137531,463.2445254619496,67.405765993266,62.47246919231983,72.79336639055553,519.8003893097642,506.6544682400036,532.8385520956825
gemma3:27b,staged,150,0.0787496492704826,0.05362614067882855,0.10658957498833438,0.0787496492704826,0.054161589675210356,0.1058652364697299,0.0787496492704826,0.053712875649085765,0.106131578614839,0.23663781916386087,0.20443011404228154,0.26904345562662063,0.1394938973063973,0.10842606138964689,0.171800507485847,0.21328388047138047,0.15116492207515897,0.27995845533918434,0.21328388047138047,0.15123200739855588,0.280687143030894,0.21328388047138047,0.15134452757329725,0.280622447886881,0.626467803030303,0.5524087236089837,0.7012079930035018,0.3675925925925925,0.29308634300211794,0.44725733606923884,28.280793559698036,27.773101055216067,28.815045087953134,501.3946233164983,491.1672921137531,512.2445254619496,536.6533722643098,526.8208055512102,547.3154216897179,1038.0479955808082,1021.7753852701749,1055.1951088607755
llama3.2:3b,direct,150,0.0,0.0,0.0,0.0,0.0,0.0,0.003472222222222222,0.00027099150788441415,0.009874683650897838,0.0393288790684624,0.02125295817371384,0.0596488735843751,0.008533249158249158,0.0007281695930868347,0.01813694130126258,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0005419830157688283,0.019749367301795676,0.10294086700336699,0.05886295959822235,0.15315312294028638,0.02053872053872054,0.0017273306940580845,0.044564588487965434,2.2546835782060226,2.189794597121103,2.3211254385964346,347.5462436868687,339.71170706444525,355.9058062974096,300.9340488215488,291.4323430228455,309.8635887453021,648.4802925084174,636.3995600386312,660.2167593874219
llama3.2:3b,direct_rich,150,0.0,0.0,0.0,0.0,0.0,0.0,0.003472222222222222,0.00027099150788441415,0.009874683650897838,0.04452598905723906,0.02591739356840425,0.06515659511755657,0.010195707070707072,0.0023906275055447486,0.020905021519183907,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0005419830157688283,0.019749367301795676,0.11676662457912457,0.07234538901975965,0.16703233806494674,0.027188552188552192,0.008377162343889737,0.05200640902052587,2.133437108951333,2.061355631208508,2.203804622156703,417.54624368686865,409.71170706444514,425.9058062974095,283.9747316919192,273.207955622786,294.16010363178475,701.5209753787879,687.4624206518861,715.3777627773795
llama3.2:3b,staged,150,0.0,0.0,0.0,0.0,0.0,0.0,0.003472222222222222,0.00027099150788441415,0.009874683650897838,0.03473853114478114,0.01910146742036568,0.0523968942817732,0.011041666666666667,0.0033587129522559276,0.02064535880968009,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0005419830157688283,0.019749367301795676,0.08923085016835017,0.05139129495223003,0.1330777879976602,0.034375,0.009303742606082313,0.06531013050180853,4.032513582125181,3.79714898526219,4.350170009325316,465.54624368686865,457.71170706444514,473.9058062974095,551.2890046296296,517.6876321714262,595.7581030006686,1016.8352483164983,981.6032652440744,1060.8001868343342
mistral-small:24b,direct,150,0.006828703703703703,0.00046286731017686645,0.01637745829399396,0.006828703703703703,0.00046286731017686645,0.01637745829399396,0.13522472993827164,0.10206375628829849,0.1723447163453024,0.37893939393939385,0.33253816319173773,0.4278590641808226,0.25449626473063974,0.21132850618707302,0.3001045623891779,0.013657407407407406,0.0009257346203537329,0.03275491658798792,0.013657407407407406,0.0009257346203537329,0.03275491658798792,0.3693392255892256,0.28404728608500956,0.46006559083481485,1.0162037037037037,0.8977706219909157,1.1385235227271226,0.6822601010101011,0.5701472168689309,0.7987684628998252,6.856104885734115,6.434768225089642,7.315190148852519,506.5076073232324,496.69654704456957,516.8686513720114,156.59209806397305,145.70674475169412,167.65458978635675,663.0997053872053,646.8374405299886,680.1839981995289
mistral-small:24b,direct_rich,150,0.01015361952861953,0.0007845496414370812,0.019882058822017594,0.01015361952861953,0.0007845496414370812,0.019702374118909786,0.12730359147025816,0.09783350321563845,0.16067896566482676,0.3406158810325477,0.2967348533509975,0.38847847938544977,0.2220561517957351,0.18196294115501296,0.2638079803344328,0.02030723905723906,0.0015690992828741625,0.03976411764403519,0.02030723905723906,0.0015690992828741625,0.03976411764403519,0.3415930134680135,0.26661465158731895,0.42283543489735415,0.8747474747474746,0.7676409922633687,0.9813493990521751,0.5677030723905723,0.46906460602038436,0.6662758903157235,6.1863707696200665,5.713961525444041,6.698467784850253,576.5076073232324,566.6965470445696,586.8686513720114,139.93229166666666,128.18005467970963,153.01881943188596,716.439898989899,699.3378141874323,734.3603485612448
mistral-small:24b,staged,150,0.05250377034231202,0.03359228796515202,0.07368130748206016,0.05250377034231202,0.0335077305531077,0.07408980122466806,0.09196294542648707,0.06529364320119073,0.12098303460198807,0.24239144921436587,0.21109284053102423,0.2735472912675197,0.1446258592873176,0.11288883482645067,0.1787588307579694,0.14782723063973063,0.09854094049808235,0.2031594166204118,0.14782723063973063,0.09834975899537773,0.20258946392547764,0.23173400673400674,0.17026640479272037,0.29816490329552436,0.638967803030303,0.5654280132389583,0.7076848853865153,0.3591277356902357,0.2856222407424071,0.4376047877886352,16.538808530893103,16.17154600821893,16.917706646880873,622.5076073232324,612.6965470445697,632.8686513720114,404.40165193602695,395.41916047144565,413.9098943855627,1026.9092592592592,1011.761543902652,1042.2224113531126
qwen3:14b,direct,150,0.0033854166666666668,0.0003188330325250531,0.009518583934949894,0.0033854166666666668,0.0003188330325250531,0.009518583934949894,0.1045323021885522,0.07033977094114348,0.13946583439316335,0.319112742003367,0.2637365253189994,0.37504578773185415,0.24495624649270478,0.19297150570533844,0.2979770196161861,0.0067708333333333336,0.0006376660650501062,0.01903716786989979,0.0067708333333333336,0.0006376660650501062,0.01903716786989979,0.3122527356902357,0.20407430885617206,0.4283203541610966,0.8796875,0.7225929190196593,1.036994258203464,0.6537089646464648,0.5160328187005169,0.80572881781999,4.123904056260206,3.8590317130367846,4.3915230036664745,358.60162037037037,348.7231813014125,369.01947980950126,146.78432765151513,136.2257103624594,157.5344260555209,505.3859480218855,489.3655522666531,521.8377945022619
qwen3:14b,direct_rich,150,0.0033854166666666668,0.0003188330325250531,0.009518583934949894,0.0033854166666666668,0.0003188330325250531,0.009518583934949894,0.10459332912457914,0.0713133412074301,0.13965252684617602,0.3149951774691358,0.26388133978615846,0.3665922150936432,0.23422690446127944,0.18881884934527352,0.2830373029149842,0.0067708333333333336,0.0006376660650501062,0.01903716786989979,0.0067708333333333336,0.0006376660650501062,0.01903716786989979,0.31126367845117847,0.20895597512964895,0.4203162725591353,0.8517834595959594,0.7064272350837155,0.9994251909971409,0.6328703703703704,0.5044501301491638,0.7698707000618049,3.3915297582971333,3.0843695314716646,3.7202513686257066,428.60162037037037,418.7231813014125,439.01947980950126,115.8989793771044,103.72767113480175,129.8964238287281,544.5005997474748,526.6597161113468,562.2668410468895
