record_id,model,condition,gold_family,gold_count,candidate_count,exact_recall@5,core_recall@5,component_identical_recall@5,matched_recall@5_tau80,matched_recall@5_tau90,exact_recovered,core_recovered,component_identical_recovered,matched_recovered_tau80,matched_recovered_tau90,elapsed_seconds,prompt_tokens,generated_tokens,total_tokens
nvbench2:dev:17,gemma3:27b,direct,line,5,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,17.126818,388,160,548
nvbench2:dev:22,gemma3:27b,direct,boxplot,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.2489542920000005,358,49,407
nvbench2:dev:23,gemma3:27b,direct,point,4,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.086069124999998,359,72,431
nvbench2:dev:25,gemma3:27b,direct,rect,5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.258578792000002,359,76,435
nvbench2:dev:33,gemma3:27b,direct,arc,4,2,0.0,0.0,0.0,0.25,0.0,0,0,0,1,0,4.499435417000004,367,56,423
nvbench2:dev:34,gemma3:27b,direct,point,2,2,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,3.884708707999998,276,54,330
nvbench2:dev:35,gemma3:27b,direct,bar+line+point+rect,4,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.084128707999994,279,83,362
nvbench2:dev:39,gemma3:27b,direct,arc,3,2,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0,1,0,4.1881744590000025,384,49,433
nvbench2:dev:40,gemma3:27b,direct,rect,4,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.7024039999999943,370,40,410
nvbench2:dev:41,gemma3:27b,direct,arc,3,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,1,1,1,3.960258957999997,377,47,424
nvbench2:dev:48,gemma3:27b,direct,arc,2,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,3.0658514169999975,300,31,331
nvbench2:dev:49,gemma3:27b,direct,line,2,1,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,3.1192564170000026,298,34,332
nvbench2:dev:51,gemma3:27b,direct,bar,5,3,0.0,0.0,0.0,0.2,0.2,0,0,0,1,1,6.731052624999997,308,122,430
nvbench2:dev:54,gemma3:27b,direct,bar,2,2,0.0,0.0,0.0,0.5,0.5,0,0,0,1,1,4.145700874999989,318,56,374
