record_id,model,condition,rank,source_attached_execution,type_completed_execution,completion_rescue,completion_break,production_accept,reference_accept,accept_agreement,error_set_agreement,production_errors,reference_errors,source_error,completed_error
nvbench2:dev:17,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:y,count_with_field:y,,
nvbench2:dev:17,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,count_with_field:y,count_with_field:y,,
nvbench2:dev:17,gemma3:27b,direct,3,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:17,gemma3:27b,direct,4,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:22,gemma3:27b,direct,1,0,0,0,0,0,0,1,0,missing_required_channel,missing_encoding,"ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot convert undefined or null to object
    at keys (<anonymous>)
    at ks (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:47763)
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50644)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)","ValueError: Vega-Lite to SVG conversion failed:
TypeError: Cannot convert undefined or null to object
    at keys (<anonymous>)
    at ks (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:47763)
    at hs.As [as run] (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:50644)
    at Nc.mapUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80950)
    at Nc.mapLayerOrUnit (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69333)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:69237)
    at Nc.map (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:80566)
    at https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79610
    at zl (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:79632)
    at Module.yg (https://cdn.jsdelivr.net/npm/vega-lite@6.4.1/+esm:7:244374)"
nvbench2:dev:22,gemma3:27b,direct,2,1,1,0,0,0,0,1,1,missing_required_channel,missing_required_channel,,
nvbench2:dev:23,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:23,gemma3:27b,direct,2,1,1,0,0,1,1,1,1,,,,
nvbench2:dev:25,gemma3:27b,direct,1,1,1,0,0,0,0,1,1,count_with_field:color|missing_required_channel,count_with_field:color|missing_required_channel,,
nvbench2:dev:33,gemma3:27b,direct,1,1,1,0,0,1,1,1,1,,,,
