record_id,model,condition,gold_family,emitted_count,unique_count,done_reason,generated_tokens,token_limit_completion,emit_0,emit_1,emit_2,emit_3,emit_4,emit_5
nvbench2:dev:17,gemma3:27b,direct,line,4,4,stop,160,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nvbench2:dev:22,gemma3:27b,direct,boxplot,2,2,stop,49,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:23,gemma3:27b,direct,point,2,2,stop,72,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:25,gemma3:27b,direct,rect,1,1,stop,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:33,gemma3:27b,direct,arc,2,2,stop,56,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:34,gemma3:27b,direct,point,2,2,stop,54,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:35,gemma3:27b,direct,bar+line+point+rect,2,2,stop,83,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:39,gemma3:27b,direct,arc,2,2,stop,49,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:40,gemma3:27b,direct,rect,1,1,stop,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:41,gemma3:27b,direct,arc,2,2,stop,47,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:48,gemma3:27b,direct,arc,1,1,stop,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:49,gemma3:27b,direct,line,1,1,stop,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:51,gemma3:27b,direct,bar,3,3,stop,122,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:54,gemma3:27b,direct,bar,2,2,stop,56,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:57,gemma3:27b,direct,rect,1,1,stop,104,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:61,gemma3:27b,direct,arc,1,1,stop,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nvbench2:dev:63,gemma3:27b,direct,arc,3,3,stop,76,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nvbench2:dev:68,gemma3:27b,direct,arc,2,2,stop,57,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nvbench2:dev:72,gemma3:27b,direct,arc,3,3,stop,174,0.0,0.0,0.0,0.0,1.0,0.0,0.0
