model,condition,n,mean_emitted_count,mean_unique_count,max_generated_tokens,token_limit_completions,done_reason_stop,proportion_emit_0,proportion_emit_1,proportion_emit_2,proportion_emit_3,proportion_emit_4,proportion_emit_5
gemma3:27b,direct,150,2.3274673821548815,2.3274673821548815,358,0,150,0.0,0.1628261784511785,0.4688552188552191,0.2667140151515151,0.08123421717171721,0.02037037037037038
gemma3:27b,direct_rich,150,2.1375894360269356,2.1375894360269356,251,0,150,0.0,0.29812184343434356,0.35329861111111116,0.2680976430976431,0.07383207070707073,0.006649831649831652
gemma3:27b,staged,150,1.1472169612794607,1.1472169612794607,866,0,150,0.0,0.8895885942760944,0.08714751683501687,0.01649305555555556,0.0,0.006770833333333335
llama3.2:3b,direct,150,4.7713173400673465,4.7713173400673465,550,0,150,0.0,0.022727272727272735,0.03442760942760944,0.006944444444444447,0.020601851851851857,0.9152988215488217
llama3.2:3b,direct_rich,150,4.5591487794612835,4.5591487794612835,460,0,150,0.0,0.029792718855218867,0.08917824074074077,0.0135942760942761,0.026957070707070718,0.8404776936026939
llama3.2:3b,staged,150,2.593997264309764,2.593997264309764,3072,1,149,0.006770833333333335,0.37052819865319875,0.2296611952861953,0.093844696969697,0.013362794612794616,0.28583228114478115
mistral-small:24b,direct,150,2.521785563973064,2.521785563973064,483,0,150,0.0,0.2712962962962963,0.31251578282828285,0.20719696969696974,0.04108796296296297,0.1679029882154882
mistral-small:24b,direct_rich,150,2.217760942760943,2.217760942760943,646,0,150,0.0,0.35989583333333347,0.3452651515151515,0.1397727272727273,0.02731481481481482,0.12775147306397308
mistral-small:24b,staged,150,1.2331228956228955,1.2331228956228955,693,0,150,0.0,0.814267676767677,0.15188341750841752,0.0270780723905724,0.0,0.006770833333333335
qwen3:14b,direct,150,3.634027777777781,3.634027777777781,482,0,150,0.0,0.23411721380471384,0.060690235690235704,0.10355639730639732,0.04031986531986533,0.5613162878787886
qwen3:14b,direct_rich,150,2.74815340909091,2.74815340909091,704,0,150,0.0,0.49049873737373756,0.020365109427609437,0.11102167508417513,0.006712962962962965,0.37140151515151515
qwen3:14b,staged,150,1.4864951599326601,1.4864951599326601,1058,0,150,0.0,0.7216908670033676,0.1773358585858586,0.0342013888888889,0.026331018518518524,0.04044086700336701
