model,left_permutation,right_permutation,top1_identity,top5_jaccard
mistral-small:24b,5,17,0.530050505050505,0.706554654514724
mistral-small:24b,5,29,0.5028146043771043,0.7180105452674898
mistral-small:24b,5,43,0.5100799663299663,0.7019394924776867
mistral-small:24b,5,59,0.5102693602693603,0.7094215134145689
mistral-small:24b,5,73,0.4750841750841751,0.7244740309844475
mistral-small:24b,5,91,0.5163457491582492,0.7096544145155256
mistral-small:24b,5,107,0.529413930976431,0.7006568662818662
mistral-small:24b,5,131,0.5505313552188552,0.7289738071856126
mistral-small:24b,5,149,0.5437026515151515,0.7190624415450804
mistral-small:24b,17,29,0.5279093013468013,0.6862182088744588
mistral-small:24b,17,43,0.5062289562289563,0.7308443228582118
mistral-small:24b,17,59,0.5589962121212121,0.7004291634933997
mistral-small:24b,17,73,0.5611847643097643,0.701340600949976
mistral-small:24b,17,91,0.5065077861952862,0.7086751693522526
mistral-small:24b,17,107,0.6142413720538721,0.7021024564427342
mistral-small:24b,17,131,0.559748526936027,0.7079623324849018
mistral-small:24b,17,149,0.5674400252525253,0.7075958618927368
mistral-small:24b,29,43,0.46063236531986534,0.7045167072510823
mistral-small:24b,29,59,0.497416877104377,0.6923219671917588
mistral-small:24b,29,73,0.5401252104377104,0.6843691545080433
mistral-small:24b,29,91,0.4864057239057239,0.7147344393004116
mistral-small:24b,29,107,0.5813657407407408,0.6896387402463791
mistral-small:24b,29,131,0.5754734848484848,0.709483245984982
mistral-small:24b,29,149,0.487310606060606,0.6952803289174817
mistral-small:24b,43,59,0.5052556818181818,0.69791775225803
mistral-small:24b,43,73,0.5150305134680134,0.7223308022353163
mistral-small:24b,43,91,0.4884943181818182,0.7192948416038693
mistral-small:24b,43,107,0.5261205808080808,0.7150051273315161
mistral-small:24b,43,131,0.5340593434343434,0.7043839728301533
mistral-small:24b,43,149,0.4930345117845118,0.6980072091617231
mistral-small:24b,59,73,0.5471012205387205,0.7120481852252686
mistral-small:24b,59,91,0.5313867845117844,0.689805879562824
mistral-small:24b,59,107,0.57159617003367,0.6867883531077975
mistral-small:24b,59,131,0.5045454545454546,0.6901333941264497
mistral-small:24b,59,149,0.5452756734006734,0.6916281281732668
mistral-small:24b,73,91,0.5220328282828283,0.7064711266100155
mistral-small:24b,73,107,0.5346853956228956,0.7087428517984072
mistral-small:24b,73,131,0.5347537878787878,0.716022618713591
mistral-small:24b,73,149,0.46700862794612785,0.6993170377718989
mistral-small:24b,91,107,0.5391308922558923,0.7062367641360697
mistral-small:24b,91,131,0.554587542087542,0.7162773986558708
mistral-small:24b,91,149,0.5410721801346802,0.6979714055234889
mistral-small:24b,107,131,0.5737899831649832,0.7024030817433595
mistral-small:24b,107,149,0.5538930976430976,0.6936053031973171
mistral-small:24b,131,149,0.5611952861952862,0.7053749716076105
qwen3:14b,5,17,0.5102640993265993,0.7400219331208915
qwen3:14b,5,29,0.5213962542087542,0.7213703879068462
qwen3:14b,5,43,0.49772727272727274,0.7127714813478703
qwen3:14b,5,59,0.4895044191919191,0.7501598533282561
qwen3:14b,5,73,0.5165667087542087,0.7444357179600236
qwen3:14b,5,91,0.5037247474747474,0.7393359020095132
qwen3:14b,5,107,0.4557659932659932,0.7141946498717331
qwen3:14b,5,131,0.5187236952861953,0.7304612969977553
qwen3:14b,5,149,0.530976430976431,0.745596674416119
qwen3:14b,17,29,0.5029882154882155,0.7271951492437603
qwen3:14b,17,43,0.531518308080808,0.7210924973945808
qwen3:14b,17,59,0.533354377104377,0.7293154761904762
qwen3:14b,17,73,0.5169823232323233,0.7191859484394206
qwen3:14b,17,91,0.5948074494949496,0.7074214783416171
qwen3:14b,17,107,0.5270517676767676,0.7026136655910962
qwen3:14b,17,131,0.5036195286195285,0.705310566812303
qwen3:14b,17,149,0.5059396043771044,0.7243207955881567
qwen3:14b,29,43,0.5646727693602694,0.7368804404828709
qwen3:14b,29,59,0.5226062710437711,0.7165638695152583
qwen3:14b,29,73,0.5949705387205388,0.71635274287184
qwen3:14b,29,91,0.449452861952862,0.711193699561755
qwen3:14b,29,107,0.5036090067340067,0.7212369854296938
qwen3:14b,29,131,0.5148621632996634,0.7138654651675486
qwen3:14b,29,149,0.4882260101010101,0.7373953448172199
qwen3:14b,43,59,0.5191919191919192,0.7147286564387259
qwen3:14b,43,73,0.5444654882154882,0.7111231778766501
qwen3:14b,43,91,0.4842329545454545,0.7211906599059376
qwen3:14b,43,107,0.5391361531986532,0.706313486218
qwen3:14b,43,131,0.5452493686868688,0.7209162140585751
qwen3:14b,43,149,0.4966750841750841,0.7230252884332745
qwen3:14b,59,73,0.5437184343434344,0.7268259229196729
qwen3:14b,59,91,0.49943181818181814,0.7269246908569825
qwen3:14b,59,107,0.5010942760942761,0.7200642336059002
qwen3:14b,59,131,0.5504840067340067,0.7388181166826999
qwen3:14b,59,149,0.5345275673400673,0.7249864301079578
qwen3:14b,73,91,0.5030250420875421,0.7151093858559137
qwen3:14b,73,107,0.5382207491582492,0.7072388484714873
qwen3:14b,73,131,0.5273358585858585,0.7153567754262198
qwen3:14b,73,149,0.5245475589225589,0.7296213206803484
qwen3:14b,91,107,0.4938920454545454,0.7406142693469082
qwen3:14b,91,131,0.49731691919191917,0.7215159824100796
qwen3:14b,91,149,0.45159932659932656,0.7249256369916091
qwen3:14b,107,131,0.483080808080808,0.7103283162310939
qwen3:14b,107,149,0.5261679292929293,0.725495530703864
qwen3:14b,131,149,0.5116003787878788,0.7296329699107476
